epoch,loss,acc
1,164.8019224648501,0.002506265664160401
2,163.38240003369626,0.005012531328320802
3,162.79934998731653,0.015037593984962405
4,162.28349193961762,0.02506265664160401
5,161.85631077994074,0.022556390977443608
6,161.45739487268833,0.040100250626566414
7,161.05942110542526,0.07518796992481203
8,160.65513078526774,0.07017543859649122
9,160.24449897719492,0.11027568922305764
10,159.84627587024968,0.13784461152882205
11,159.4462028276326,0.14536340852130325
12,159.0676313009625,0.14285714285714285
13,158.69911659085818,0.16541353383458646
14,158.39449573413827,0.18045112781954886
15,158.10640359371342,0.23809523809523808
16,157.85288674211492,0.24561403508771928
17,157.61564386429083,0.20551378446115287
18,157.40635509103706,0.2531328320802005
19,157.2031976567108,0.2781954887218045
20,157.0388270242196,0.24812030075187969
21,156.87782985567694,0.24561403508771928
22,156.73901593828492,0.2606516290726817
23,156.62426381456106,0.2882205513784461
24,156.51727156636278,0.2581453634085213
25,156.4173524459156,0.2581453634085213
26,156.31815766226063,0.2807017543859649
27,156.2424220140225,0.2756892230576441
28,156.16519471312708,0.24561403508771928
29,156.09546614529793,0.2932330827067669
30,156.03736897067583,0.29573934837092737

9,159.50455043528785,0.14786967418546365
